loan_id,customer_id,loan_type,loan_amount,loan_term_months,interest_rate,loan_start_date,collateral_type,collateral_value,monthly_loan_payment,loan_purpose,credit_score,debt_to_income_ratio,loan_to_value_ratio,missed_payments_12m,days_past_due,repayment_status,default_flag,risk_band,expected_loss_amount,customer_name,age,gender,nationality,occupation,employment_status,city,state,customer_segment,loyalty_classification,fee_structure,investment_advisor,joined_bank,annual_income,monthly_income,bank_deposits,checking_balance,savings_balance,credit_card_limit,credit_card_balance,credit_utilization_ratio,business_lending,existing_monthly_debt_payment,total_deposit_balance,deposit_to_income_ratio,age_group,income_band,customer_tenure_years,credit_utilization_band,credit_score_band,dti_band,ltv_band,has_recent_delinquency,loan_to_income_ratio,exposure_after_deposits
LOAN000001,CUST07874,Education Loan,476245.49,67,9.82,2023-08-14,Unsecured,0.0,9262.29,Higher Education,701.0,0.438,,0,0,Current,0,Low,11667.54,Ira Gupta,25,Male,Indian,Retired,Self Employed,Hyderabad,Rajasthan,Retail,Gold,Standard,Advisor F,2000-08-24,1041403.54,86783.63,1941011.38,294272.88,526354.08,295490.08,148930.67,0.504,32633.27,26618.51,2761638.34,2.652,18-25,Middle,25.9,Moderate,Good,35-45%,,False,0.46,0.0
LOAN000002,CUST05835,Home Loan,2900138.6,248,9.86,2021-08-08,Property,4143693.51,27434.77,Home Purchase,690.0,0.764,0.7,2,48,Current,0,Medium,113222.5,Pooja Das,47,Female,Indian,Shop Owner,Salaried,Hyderabad,Rajasthan,Private Banking,Jade,Discounted,Advisor C,2007-08-01,721199.0,60099.92,822640.31,78310.11,367728.34,174594.15,15283.32,0.088,176588.33,15137.1,1268678.76,1.759,46-55,Lower Middle,19.0,Low,Good,>60%,60-80%,True,4.02,1631459.84
LOAN000003,CUST09330,Home Loan,1647702.57,249,7.6,2021-05-21,Property,2622794.55,13169.82,Home Purchase,684.0,0.63,0.628,0,0,Current,0,Low,41793.69,Meera Chatterjee,42,Female,Indian,Consultant,Retired,Chennai,Gujarat,Private Banking,Silver,Premium,Advisor E,2001-07-12,485655.66,40471.3,1208265.42,71390.03,683902.85,71525.17,17893.35,0.25,309393.35,11688.61,1963558.3,4.043,36-45,Lower Middle,25.0,Low,Good,>60%,60-80%,False,3.39,0.0
LOAN000004,CUST03418,Business Loan,2737180.44,73,12.84,2019-02-23,Unsecured,0.0,54217.24,Business Expansion,695.0,0.889,,0,0,Current,0,Medium,441283.42,Shawn Kapoor,41,Female,Indian,Teacher,Self Employed,Lucknow,Rajasthan,Priority,Gold,Standard,Advisor F,2009-08-14,952508.16,79375.68,2340300.32,451527.07,628758.18,96195.99,7014.58,0.073,780822.0,17865.78,3420585.57,3.591,36-45,Middle,16.9,Low,Good,>60%,,False,2.87,0.0
LOAN000005,CUST07800,Auto Loan,271956.76,56,10.45,2021-02-03,Vehicle,293348.04,6157.08,Vehicle Purchase,670.0,0.592,0.927,0,0,Current,0,Medium,7973.7,Shaurya Coleman,54,Female,Asian,Nurse,Salaried,Lucknow,Tamil Nadu,Retail,Silver,Standard,Advisor E,2022-03-13,706256.79,58854.73,612439.75,76332.88,387280.51,255538.06,123454.71,0.483,180130.14,21623.57,1076053.14,1.524,46-55,Lower Middle,4.4,Moderate,Good,45-60%,80-95%,False,0.39,0.0
LOAN000006,CUST07476,Home Loan,4820372.0,237,8.2,2024-09-14,Property,5820202.11,41127.3,Home Purchase,718.0,0.601,0.828,0,0,Current,0,Low,133398.01,Sara Singh,60,Male,Indian,Software Engineer,Salaried,Ahmedabad,Telangana,Private Banking,Silver,Standard,Advisor E,2020-01-04,1104500.66,92041.72,2140649.69,413043.2,1194188.24,343667.69,90941.41,0.265,184201.61,11404.4,3747881.13,3.393,56-65,Middle,6.6,Low,Good,>60%,80-95%,False,4.36,1072490.87
LOAN000007,CUST02735,Auto Loan,398989.28,62,11.14,2025-03-19,Vehicle,463575.69,8492.99,Vehicle Purchase,624.0,0.688,0.861,1,21,Paid Off,0,Medium,31546.89,Vivaan Rao,59,Male,American,Architect,Retired,Delhi,West Bengal,Retail,Platinum,Standard,Advisor F,2014-04-12,705498.77,58791.56,2053512.78,158676.95,986383.1,59937.62,14477.34,0.242,101051.28,31170.58,3198572.83,4.534,56-65,Lower Middle,12.3,Low,Fair,>60%,80-95%,True,0.57,0.0
LOAN000008,CUST05090,Home Loan,3285371.56,230,7.45,2020-06-10,Property,4399653.37,26868.46,Home Purchase,690.0,0.679,0.747,7,180,Defaulted,1,High,105553.22,Aditya Iyer,55,Female,Asian,Teacher,Retired,Ahmedabad,West Bengal,Retail,Silver,Standard,Advisor E,2013-01-09,563661.14,46971.76,781943.53,144295.75,487519.2,170992.55,16134.62,0.094,64993.09,8962.78,1413758.48,2.508,46-55,Lower Middle,13.5,Low,Good,>60%,60-80%,True,5.83,1871613.08
LOAN000009,CUST13458,Business Loan,4562755.24,77,12.43,2021-05-19,Business Asset,8648015.93,86287.09,Business Expansion,684.0,1.044,0.528,4,72,Current,0,High,576576.36,Maya Brown,30,Female,Indian,Consultant,Salaried,Mumbai,Maharashtra,Priority,Jade,Premium,Advisor B,2010-10-26,1491496.63,124291.39,2931563.7,378277.87,846030.88,171897.25,28817.44,0.168,1269328.86,39592.48,4155872.45,2.786,26-35,Middle,15.7,Low,Good,>60%,<=60%,True,3.06,406882.79000000004
LOAN000010,CUST01306,Auto Loan,402137.18,66,8.39,2018-07-24,Vehicle,530655.5,7627.43,Vehicle Purchase,671.0,0.548,0.758,0,0,Current,0,Low,9028.5,Meera Sharma,65,Female,Indian,Self Employed,Salaried,Jaipur,Uttar Pradesh,Priority,Gold,Standard,Advisor E,2000-04-25,963248.4,80270.7,2573854.56,360797.84,780228.25,184200.11,7056.17,0.038,136752.1,38067.93,3714880.65,3.857,56-65,Middle,26.2,Low,Good,45-60%,60-80%,False,0.42,0.0
LOAN000011,CUST08423,Business Loan,17186546.17,81,12.54,2023-11-20,Unsecured,0.0,315542.3,Business Expansion,624.0,0.906,,8,180,Defaulted,1,High,5290195.92,Riya Cunningham,66,Female,American,Software Engineer,Salaried,Mumbai,Delhi,Private Banking,Gold,Premium,Advisor D,2022-03-30,4895515.59,407959.63,8677503.46,1110309.5,5163039.59,1500000.0,417689.98,0.278,74101.98,91926.06,14950852.55,3.054,66+,Affluent,4.3,Low,Fair,>60%,,True,3.51,2235693.620000001
LOAN000012,CUST03372,Auto Loan,174914.93,72,8.5,2023-07-29,Vehicle,272123.72,3109.7,Vehicle Purchase,754.0,0.327,0.643,0,0,Current,0,Low,1878.36,Pranav Iyer,59,Male,Indian,Retired,Salaried,Jaipur,Tamil Nadu,Retail,Jade,Premium,Advisor B,2006-07-10,640969.26,53414.1,877665.12,130910.68,408767.06,73526.17,2181.81,0.03,461719.01,9855.68,1417342.86,2.211,56-65,Lower Middle,20.0,Low,Very Good,<=35%,60-80%,False,0.27,0.0
LOAN000013,CUST13494,Auto Loan,472104.38,71,10.0,2023-12-11,Vehicle,899650.98,8836.19,Vehicle Purchase,678.0,0.558,0.525,4,173,Defaulted,1,Medium,8934.17,Vivaan Patel,49,Female,Indian,Accountant,Retired,Mumbai,West Bengal,Retail,Gold,Standard,Advisor F,2013-12-22,1048814.21,87401.18,2951903.43,541728.07,1045027.94,289926.44,118465.31,0.409,91407.65,47408.66,4538659.44,4.327,46-55,Middle,12.6,Moderate,Good,45-60%,<=60%,True,0.45,0.0
LOAN000014,CUST04510,Personal Loan,612846.3,38,16.28,2018-02-10,Unsecured,0.0,20747.08,Personal Expense,707.0,0.456,,0,0,Current,0,Low,15817.31,Riya Rao,60,Male,Indian,Shop Owner,Retired,Kolkata,Uttar Pradesh,Retail,Gold,Standard,Advisor E,2017-05-15,1049444.96,87453.75,1868153.76,364933.02,997955.87,258121.18,21703.19,0.084,69498.86,23463.7,3231042.65,3.079,56-65,Middle,9.2,Low,Good,45-60%,,False,0.58,0.0
LOAN000015,CUST12466,Personal Loan,582796.11,48,12.33,2024-01-08,Unsecured,0.0,15441.86,Personal Expense,733.0,0.369,,1,14,Paid Off,0,Low,11682.56,Meera Verma,50,Female,Indian,Business Owner,Business Owner,Lucknow,Rajasthan,Priority,Silver,Premium,Advisor A,2007-10-29,1355422.85,112951.9,2392379.58,328740.76,1326976.82,222977.25,88200.25,0.396,1156913.66,25307.28,4048097.16,2.987,46-55,Middle,18.7,Moderate,Good,35-45%,,True,0.43,0.0
LOAN000016,CUST07600,Auto Loan,975370.15,54,8.67,2024-07-11,Vehicle,1095058.64,21878.83,Vehicle Purchase,700.0,0.12,0.891,1,17,Current,0,Low,7095.6,Vikram Mehta,44,Male,Indian,Accountant,Self Employed,Mumbai,Gujarat,Private Banking,Gold,Standard,Advisor F,2003-07-31,1566474.94,130539.58,2473626.69,295663.71,1479388.47,123477.35,31489.8,0.255,141797.33,1526.98,4248678.87,2.712,36-45,High,23.0,Low,Good,<=35%,80-95%,True,0.62,0.0
LOAN000017,CUST13581,Home Loan,3435200.94,242,10.7,2018-05-03,Property,6804285.45,34676.84,Home Purchase,658.0,0.439,0.505,0,0,Current,0,Low,45321.71,Vikram Roy,52,Male,Indian,Sales Manager,Salaried,Bengaluru,Maharashtra,Retail,Platinum,Premium,Advisor B,2023-09-09,1201203.15,100100.26,2597844.3,474993.42,1074225.07,432918.3,200927.71,0.464,141475.0,12453.39,4147062.79,3.452,46-55,Middle,2.9,Moderate,Fair,35-45%,<=60%,False,2.86,0.0
LOAN000018,CUST04431,Business Loan,2239083.61,86,11.09,2022-11-16,Business Asset,3984311.11,37852.62,Business Expansion,601.0,0.679,0.562,4,100,Late,0,High,251583.41,Arjun Nair,54,Female,Indian,Doctor,Salaried,Delhi,West Bengal,Retail,Silver,Standard,Advisor D,2015-07-11,761043.9,63420.32,1297647.43,91626.41,423723.51,176794.71,33870.23,0.192,88185.32,12022.07,1812997.35,2.382,46-55,Lower Middle,11.0,Low,Fair,>60%,<=60%,True,2.94,426086.2599999998
LOAN000019,CUST07085,Home Loan,3409252.15,228,9.22,2019-08-28,Property,4701288.2,31736.45,Home Purchase,729.0,0.368,0.725,0,0,Current,0,Low,44342.64,Pranav Wilson,65,Female,Indian,Nurse,Self Employed,Jaipur,Tamil Nadu,Private Banking,Silver,Premium,Advisor B,2009-07-08,1251782.02,104315.17,2592410.44,228992.5,1345802.89,370926.28,90945.89,0.245,154657.21,20174.95,4167205.83,3.329,56-65,Middle,17.0,Low,Good,35-45%,60-80%,False,2.72,0.0
LOAN000020,CUST13203,Home Loan,6648621.84,249,10.56,2019-10-15,Property,7342466.93,65951.05,Home Purchase,642.0,0.813,0.906,6,162,Defaulted,1,High,725986.94,Vikram Wilson,49,Male,Indian,Sales Manager,Salaried,Ahmedabad,Maharashtra,Private Banking,Gold,Premium,Advisor C,2018-01-01,1294085.94,107840.5,3264239.05,536362.43,1433770.65,448088.36,95818.46,0.214,270728.77,16923.05,5234372.13,4.045,46-55,Middle,8.6,Low,Fair,>60%,80-95%,True,5.14,1414249.71
LOAN000021,CUST00055,Home Loan,3134876.61,241,8.1,2024-07-18,Property,4554923.39,26372.88,Home Purchase,672.0,0.642,0.688,2,44,Current,0,Medium,86512.99,Ayaan Brown,53,Female,Indian,Self Employed,Salaried,Bengaluru,West Bengal,Private Banking,Gold,Discounted,Advisor E,2022-11-12,880305.45,73358.79,2201650.11,387969.15,1175658.69,185982.0,87197.26,0.469,227800.66,14821.45,3765277.95,4.277,46-55,Middle,3.7,Moderate,Good,>60%,60-80%,True,3.56,0.0
LOAN000022,CUST11270,Personal Loan,361669.29,32,13.1,2023-11-03,Unsecured,0.0,13451.94,Personal Expense,669.0,0.267,,0,0,Current,0,Low,5378.21,Aarav Roy,48,Female,Indian,Self Employed,Self Employed,Chennai,Rajasthan,Retail,Jade,Standard,Advisor C,2006-08-25,889801.99,74150.17,651146.71,67839.11,235441.84,229984.68,97811.65,0.425,44427.33,9478.92,954427.66,1.073,46-55,Middle,19.9,Moderate,Fair,<=35%,,False,0.41,0.0
LOAN000023,CUST07071,Business Loan,2271360.37,91,13.48,2018-06-22,Business Asset,3707819.48,39982.48,Business Expansion,699.0,0.566,0.613,6,142,Defaulted,1,High,95101.55,Aadhya Patel,40,Female,Indian,Retired,Salaried,Ahmedabad,West Bengal,Private Banking,Silver,Standard,Advisor E,2016-10-08,1427588.24,118965.69,2948537.26,235152.51,763832.5,298116.85,94684.38,0.318,8510.14,28872.0,3947522.27,2.765,36-45,Middle,9.8,Moderate,Good,45-60%,60-80%,True,1.59,0.0
