first_name,last_name,name_suffix,npi,address,city,postcode,phone,specialty,record_id
Priya,Ptael, Dr,,125 Station Road,Leeds,TS16 6XX,24243063761,cardiology,R0002310
David,Khan,,7361378272,272 Park Avenue,York,TS21 3XX,07050511994,orthopaedics,R0003347
P.,Smith, MD,4569520966,223 Park Avenue,Newcastle,TS25 7XX,1201 946 5417,paediatrics,R0003322
Lucy,Taylor,,9632007741,174 Church Ln,York,TS11 4XX,4110 689 6937,family medicine,R0004552
Aisha,Taylor,,4564294996,5 Station Road,Newcastle,TS20 7XX,96858690239,family medicine,R0007477
James,Roberts, Jr,1708294547,27 Station Road,York,TS8 7XX,(8567) 4296054,cardiovascular medicine,R0004781
Mohammed,Thomas, MD,5098047710,191 Victoria Rd,Newcastle,TS22 6XX,(6463) 0323414,orthopaedics,R0001543
Chen,Thomas,,0541394162,171 Station Rd,Middlesbrough,TS16 6XX,(0283) 7326261,pediatrics,R0004004
Elena,Thomas,,2284788319,144 Station Road,Durham,TS23 4XX,14133518093,family medicine,R0001702
David,Thomas,,6128563850,62 Park Avenue,Leeds,TS25 6XX,10021614360,cardiology,R0003102
James,Evans,,1802160059,283 Church Lane,York,TS20 5XX,35026301830,paediatrics,R0000408
Sarah,Taylor,,8193717869,149 Victoria Rd,Middlesbrough,TS16 8XX,77367790246,ortho surgery,R0005209
G.,Jones,,,213 Church Ln,Middlesbrough,TS14 3XX,32115237486,general practice,R0004952
Elena,Khan,,2705931563,242 Park Avenue,Newcastle,TS19 7XX,32841190829,cardiovascular medicine,R0005242
Priya,Jones,,0991863160,136 High Street,Middlesbrough,TS4 1XX,38229405548,gp,R0004048
Fatima,Taylor,,3910273644,64 Station Road,Middlesbrough,TS8 7XX,90576641156,ortho surgery,R0007057
Sarah,Brown,,5174820393,71 Park Avenue,Newcastle,TS9 6XX,23268228457,general practice,R0000503
Sarah,Patel,,7097433387,270 Station Road,Middlesbrough,TS16 6XX,73414633486,ortho surgery,R0001024
Rajesh,Ali,,6192981080,41 High Street,York,TS14 4XX,42033470296,orthopaedics,R0005412
Mhoammed,Sharma, Dr,9527840431,113 Park Avenue,Durham,TS12 4XX,71945540787,cardiovascular medicine,R0004148
Grace,Nguyen,,0189290736,213 Victoria Road,York,TS7 8XX,25189344960,paediatrics,R0004091
Mohammed,Davies,,2668902536,200 Victoria Road,Leeds,TS26 8XX,90211040298,ortho surgery,R0000601
Wei,Ahmed, Jr,,237 Station Road,Newcastle,TS8 5XX,1580 781 6520,orthopaedics,R0007373
Rajesh,Davies,,8318750468,145 Church Lane,York,TS12 4XX,01738391158,cardiology,R0000982
