cluster,first_name,last_name,name_suffix,npi,address,city,postcode,phone,specialty,record_id,members
7,Chen,Thomas,,0541394162,171 Station Rd,Middlesbrough,TS16 6XX,(0283) 7326261,pediatrics,R0004004,1
8,Elena,Thomas,,2284788319,144 Station Road,Durham,TS23 4XX,14133518093,family medicine,R0001702,1
11,Sarah,Taylor,,8193717869,149 Victoria Rd,Middlesbrough,TS16 8XX,77367790246,ortho surgery,R0005209,1
18,Rajesh,Ali,,6192981080,41 High Street,York,TS14 4XX,42033470296,orthopaedics,R0005412,1
23,Rajesh,Davies,,8318750468,145 Church Lane,York,TS12 4XX,01738391158,cardiology,R0000982,1
24,David,Davies,,9280032515,8 Victoria Road,Middlesbrough,TS13 5XX,44049870152,general practice,R0003519,1
26,Aisha,Brown, MD,,270 high st,York,TS28 4XX,69037594336,cardiology,R0006727,1
30,Mohammed,Wilson,,4461439084,257 Victoria Road,Middlesbrough,TS11 5XX,32086184913,family medicine,R0005856,1
32,Lucy,Jones,,7577525899,117 High Street,York,TS4 6XX,90698319959,pediatrics,R0000101,1
33,James,Roberts, Jr,8472149891,114 Church Ln,Leeds,TS1 4XX,(8295) 1842928,orthopaedics,R0006958,2
38,Chen,Ahmed,,6165271795,81 High Street,York,TS16 5XX,26255678778,general practice,R0000468,1
40,Elena,Patel,,5698229343,257 Station Road,York,TS9 4XX,31784265557,pediatrics,R0000789,1
41,Rajesh,Taylor,,,225 park ave,Leeds,TS4 8XX,77784561072,cardiology,R0002835,1
42,Grace,Evans,,1859374514,276 High Street,Durham,TS21 7XX,48849724133,orthopedics,R0002577,1
44,Lucy,Evans,,8138260937,194 Park Avenue,Durham,TS8 1XX,94639766052,family medicine,R0005473,1
45,David,Thomas,,9977790505,118 Station Road,Leeds,TS26 6XX,58061215674,paediatrics,R0000642,1
48,Chen,Smith, MD,,254 Victoria Rd,Newcastle,TS11 3XX,7061 206 6490,orthopaedics,R0005306,1
49,Lucy,Davies,,5320590984,170 Station Road,York,TS25 1XX,40603772515,pediatrics,R0001533,1
54,Wei,Smith,,7282525831,11 Station Road,Middlesbrough,TS22 4XX,47541636019,gp,R0006434,1
55,Jonh,Ahmed, Dr,,22 station rd,Newcastle,TS3 2XX,9607 988 8787,cardiovascular medicine,R0002833,1
62,Omra,Sharma, MD,5667025183,40 Station Rd,York,TS23 8XX,4235 483 7197,cardiovascular medicine,R0006263,1
69,Lucy,Sharma,,1954974105,265 High Street,Leeds,TS20 1XX,94814968673,orthopaedics,R0002088,1
75,Amara,Nguyen,,9432340277,140 High Street,Newcastle,TS4 2XX,01184102444,orthopedics,R0003898,1
83,Grace,Nguyen,,6502121622,184 Victoria Road,York,TS22 1XX,68116672302,paediatrics,R0004692,1
88,James,Taylor,,7188339873,147 Church Lane,Durham,TS21 2XX,00341038267,paediatrics,R0004927,1
89,Mohammed,Wilson,,6155376577,251 Church Lane,Leeds,TS22 6XX,91495900735,pediatrics,R0000065,1
92,Rajehs,Ahmed,,7687225362,1 Church Lane,Durham,TS25 3XX,8563 736 9534,orthopaedics,R0006338,1
